Station Code,Name Of Monitoring Location,State Name,Temperature (oC) Unnamed: 3_level_1,Temperature (oC) Unnamed: 4_level_1,Dissolved Oxygen (mg/L) > 5.0 mg/ L,Dissolved Oxygen (mg/L) > 5.0 mg/ L.1,pH 6.5 - 8.5,pH 6.5 - 8.5.1,Conductivity (µmhos/cm) Unnamed: 9_level_1,Conductivity (µmhos/cm) Unnamed: 10_level_1,Bio-Chemical Oxygen Demand (mg/L) < 3.0 mg/ L,Bio-Chemical Oxygen Demand (mg/L) < 3.0 mg/ L.1,Nitrate (mg/L) Unnamed: 13_level_1,Nitrate (mg/L) Unnamed: 14_level_1,"Fecal Coliform (MPN/100mL) < 2500 MPN
/ 100 mL","Fecal Coliform (MPN/100mL) < 2500 MPN
/ 100 mL.1",Total Coliform (MPN/100mL) Unnamed: 17_level_1,Total Coliform (MPN/100mL) Unnamed: 18_level_1,"Fecal Streptococci (MPN/100mL) < 500 MPN
/ 100 mL","Fecal Streptococci (MPN/100mL) < 500 MPN
/ 100 mL.1",Temperature AVG,Dissolved Oxygen AVG,pH 6.5 - 8.5 AVG,Conductivity AVG,Bio-Chemical Oxygen Demand AVG,Nitrate AVG,Fecal Coliform AVG,Total Coliform AVG,Fecal Streptococci AVG
1867.0,RIVER     SUTLEJ     BEFORE CONF.   WITH  RIVER  SPITI AT KHAB,HIMACHAL PRADESH,7.0,14.0,8.9,9.4,8.02,8.42,288.0,467.0,2.6562455892731127,6.435890218156228,0.32,0.61,6.0,20.0,8.0,1600.0,217.50874751491057,914.7807157057653,10.5,9.15,8.219999999999999,377.5,,0.46499999999999997,13.0,804.0,
2611.0,"RIVER       SUTLEJ       AFTER CONF.   WITH   RIVER   SPIT
AT KHAB",HIMACHAL PRADESH,7.0,13.0,9.0,9.5,8.05,8.56,255.0,471.0,2.6562455892731127,6.435890218156228,0.32,0.65,4.0,24.0,110.0,1600.0,217.50874751491057,914.7807157057653,10.0,9.25,8.305,363.0,,0.485,14.0,855.0,
3872.0,RIVER SUTLEJ D/S TIDONG HEP,HIMACHAL PRADESH,6.5,13.0,8.8,9.4,8.1,8.56,290.0,2137.0,2.6562455892731127,6.435890218156228,0.32,0.59,2.0,17.0,110.0,1600.0,217.50874751491057,914.7807157057653,9.75,9.100000000000001,8.33,1213.5,,0.45499999999999996,9.5,855.0,
4448.0,"RIVER     SUTLEJ     BEFORE
CONFLUENCES            WITH RIVER TIDONG",HIMACHAL PRADESH,6.0,13.0,8.9,9.4,8.06,8.52,278.0,3392.0,2.6562455892731127,6.435890218156228,0.32,0.62,4.0,38.0,2.0,350.0,217.50874751491057,914.7807157057653,9.5,9.15,8.29,1835.0,,0.47,21.0,176.0,
4449.0,RIVER       SUTLEJ       AFTER CONFLUENCES            WITH RIVER TIDONG,HIMACHAL PRADESH,6.5,13.0,8.8,9.4,8.06,8.56,291.0,3970.0,2.6562455892731127,6.435890218156228,0.32,0.58,2.0,170.0,2.0,1600.0,217.50874751491057,914.7807157057653,9.75,9.100000000000001,8.31,2130.5,,0.44999999999999996,86.0,801.0,
4452.0,RIVER     SUTLEJ     BEFORE CONFLUENCES   OF   RIVER BASPA,HIMACHAL PRADESH,6.0,13.0,8.7,9.6,8.08,8.53,292.0,2514.0,2.6562455892731127,6.435890218156228,0.32,0.65,2.0,33.0,7.0,1600.0,217.50874751491057,914.7807157057653,9.5,9.149999999999999,8.305,1403.0,,0.485,17.5,803.5,
3871.0,RIVER SUTLEJ D/S POWER HOUSE KASHANG HEP,HIMACHAL PRADESH,6.0,13.0,8.8,9.3,8.07,8.47,293.0,3157.0,2.6562455892731127,6.435890218156228,0.32,0.6,2.0,22.0,5.0,1600.0,217.50874751491057,914.7807157057653,9.5,9.05,8.27,1725.0,,0.45999999999999996,12.0,802.5,
3870.0,RIVER       SUTLEJ       AFTER CONF. OF RIVER BASPA AT KARCHAM DAM,HIMACHAL PRADESH,7.0,13.0,8.8,9.2,7.86,8.49,260.0,2441.0,2.6562455892731127,6.435890218156228,0.8467035175879397,0.61,2.0,26.0,4.0,1600.0,217.50874751491057,914.7807157057653,10.0,9.0,8.175,1350.5,,,14.0,802.0,
1389.0,RIVER           SUTLEJ           AT WANGTOO BRIDGE,HIMACHAL PRADESH,7.0,13.0,8.7,9.3,6.74,8.54,83.0,2718.0,2.6562455892731127,6.435890218156228,0.32,2.54,6.0,39.0,39.0,1600.0,217.50874751491057,914.7807157057653,10.0,9.0,7.64,1400.5,,1.43,22.5,819.5,
4453.0,"RIVER       SUTLEJ       AFTER
CONFLUENCES   OF   RIVER BASPA",HIMACHAL PRADESH,7.0,13.0,8.8,9.3,6.7,8.46,100.0,1893.0,2.6562455892731127,6.435890218156228,0.32,1.28,2.0,21.0,6.0,1600.0,217.50874751491057,914.7807157057653,10.0,9.05,7.58,996.5,,0.8,11.5,803.0,
